application_id,high_freq_flag,id_inconsistent_flag,abnormal_region_flag,is_new_device,no_credit_history_flag,fraud_rule_count,fraud_risk_level,fraud_flag
APP000071,0,0,0,0,0,0,低风险,0
APP000072,0,0,0,1,0,1,低风险,0
APP000073,0,0,0,0,1,1,低风险,0
APP000074,0,0,0,1,0,1,低风险,0
APP000075,0,0,0,1,0,1,低风险,0
APP000076,0,0,0,0,1,1,低风险,0
APP000077,0,0,0,0,0,0,低风险,0
APP000078,0,0,0,0,0,0,低风险,0
APP000079,0,0,0,1,0,1,低风险,0
APP000080,0,0,0,0,0,0,低风险,0
APP000081,0,0,0,1,0,1,低风险,0
APP000082,0,0,0,0,0,0,低风险,0
APP000083,0,0,0,1,0,1,低风险,0
APP000084,0,0,0,1,1,2,中风险,0
APP000085,0,0,0,0,1,1,低风险,0
APP000086,0,0,0,0,0,0,低风险,0
APP000087,0,0,0,0,0,0,低风险,0
APP000088,0,0,0,1,1,2,中风险,0
APP000089,0,0,0,1,0,1,低风险,0
APP000090,0,0,0,0,1,1,低风险,0
APP000091,0,0,0,1,0,1,低风险,0
APP000092,0,0,0,0,0,0,低风险,0
APP000093,0,0,0,0,0,0,低风险,0
APP000094,0,0,0,1,0,1,低风险,0
APP000095,0,0,0,0,1,1,低风险,0
APP000096,0,0,0,0,0,0,低风险,0
APP000097,0,0,0,0,1,1,低风险,0
APP000098,0,0,0,0,0,0,低风险,0
APP000099,0,0,0,0,1,1,低风险,0
APP000100,0,0,0,0,0,0,低风险,0
APP000101,0,0,0,1,0,1,低风险,0
APP000102,0,0,0,0,0,0,低风险,0
APP000103,0,0,0,0,0,0,低风险,0
APP000104,0,0,0,0,0,0,低风险,0
APP000105,1,0,1,1,1,4,高风险,1
APP000106,0,0,0,1,1,2,中风险,0
APP000107,0,0,0,1,0,1,低风险,0
APP000108,0,0,0,0,1,1,低风险,0
APP000109,0,0,0,1,1,2,中风险,0
APP000110,0,0,0,0,0,0,低风险,0
APP000111,0,0,0,0,0,0,低风险,0
APP000112,0,0,0,0,0,0,低风险,0
APP000113,1,0,0,0,0,1,低风险,1
APP000114,0,0,0,0,0,0,低风险,0
APP000115,0,0,0,1,1,2,中风险,0
APP000116,0,0,0,0,0,0,低风险,0
APP000117,0,0,0,1,0,1,低风险,0
APP000118,0,0,0,0,0,0,低风险,0
APP000119,0,0,0,0,1,1,低风险,0
APP000120,0,0,0,1,0,1,低风险,0
APP000121,0,0,0,0,1,1,低风险,0
APP000122,0,0,0,0,1,1,低风险,0
APP000123,0,0,0,1,1,2,中风险,0
APP000124,0,0,0,1,0,1,低风险,0
APP000125,0,0,0,1,0,1,低风险,0
APP000126,0,0,0,1,0,1,低风险,0
APP000127,0,0,0,1,0,1,低风险,0
APP000128,0,0,0,1,0,1,低风险,0
APP000129,0,0,0,0,1,1,低风险,0
APP000130,0,0,0,0,1,1,低风险,0
APP000131,0,0,0,0,0,0,低风险,0
APP000132,0,0,0,0,0,0,低风险,0
APP000133,0,0,0,1,0,1,低风险,0
APP000134,0,0,0,1,1,2,中风险,0
APP000135,1,0,1,1,1,4,高风险,1
APP000136,0,0,0,0,1,1,低风险,0
APP000137,0,0,0,1,0,1,低风险,0
APP000138,0,0,0,0,0,0,低风险,0
APP000139,0,0,0,1,0,1,低风险,0
APP000140,1,0,0,1,0,2,中风险,1
APP000141,1,0,0,1,1,3,高风险,1
APP000142,0,0,0,0,0,0,低风险,0
APP000143,0,0,0,0,1,1,低风险,0
APP000144,0,0,0,1,0,1,低风险,0
APP000145,0,0,0,1,0,1,低风险,0
APP000146,0,0,0,1,1,2,中风险,0
APP000147,0,0,0,0,0,0,低风险,0
APP000148,0,0,0,0,0,0,低风险,0
APP000149,0,0,0,1,0,1,低风险,0
APP000150,0,0,0,1,0,1,低风险,0
APP000151,1,1,0,0,1,3,高风险,1
APP000152,0,0,0,0,0,0,低风险,0
APP000153,0,0,0,1,1,2,中风险,0
APP000154,0,0,0,0,1,1,低风险,0
APP000155,1,0,0,1,1,3,高风险,1
APP000156,0,0,0,0,1,1,低风险,0
APP000157,0,0,0,0,0,0,低风险,0
APP000158,0,0,0,1,0,1,低风险,0
APP000159,0,0,0,1,1,2,中风险,0
APP000160,0,0,0,0,0,0,低风险,0
APP000161,0,0,0,0,1,1,低风险,0
APP000162,0,0,0,0,0,0,低风险,0
APP000163,0,0,0,0,1,1,低风险,0
APP000164,0,0,0,0,0,0,低风险,0
APP000165,0,0,0,1,1,2,中风险,0
APP000166,0,0,0,0,0,0,低风险,0
APP000167,0,0,0,0,0,0,低风险,0
APP000168,0,0,0,0,0,0,低风险,0
APP000169,0,0,0,0,1,1,低风险,0
APP000170,0,0,0,0,1,1,低风险,0
APP000171,0,0,0,0,1,1,低风险,0
APP000172,0,0,0,1,0,1,低风险,0
APP000173,0,0,0,0,1,1,低风险,0
APP000174,0,0,0,0,0,0,低风险,0
APP000175,0,0,0,1,0,1,低风险,0
APP000176,0,0,0,1,0,1,低风险,0
APP000177,0,0,0,0,0,0,低风险,0
APP000178,0,0,0,1,1,2,中风险,0
APP000179,1,0,0,1,1,3,高风险,1
APP000180,0,0,0,0,0,0,低风险,0
APP000181,0,0,0,0,0,0,低风险,0
APP000182,0,0,0,1,1,2,中风险,0
APP000183,1,0,0,1,1,3,高风险,1
APP000184,0,0,0,0,0,0,低风险,0
APP000185,0,0,0,0,1,1,低风险,0
APP000186,0,0,0,1,0,1,低风险,0
APP000187,0,0,0,0,0,0,低风险,0
APP000188,0,0,0,0,1,1,低风险,0
APP000189,0,0,0,1,1,2,中风险,0
APP000190,0,0,0,1,1,2,中风险,0
APP000191,0,0,0,1,0,1,低风险,0
APP000192,0,0,0,1,0,1,低风险,0
APP000193,1,0,0,1,0,2,中风险,1
APP000194,0,0,0,1,0,1,低风险,0
APP000195,0,0,0,1,0,1,低风险,0
APP000196,0,0,0,0,1,1,低风险,0
APP000197,0,0,0,0,1,1,低风险,0
APP000198,0,0,0,0,0,0,低风险,0
APP000199,0,0,0,0,1,1,低风险,0
APP000200,0,0,0,1,1,2,中风险,0
APP000201,0,0,0,1,0,1,低风险,0
APP000202,0,0,0,0,0,0,低风险,0
APP000203,0,0,0,0,0,0,低风险,0
APP000204,0,0,0,1,0,1,低风险,0
APP000205,0,0,0,0,1,1,低风险,0
APP000206,0,0,0,0,0,0,低风险,0
APP000207,0,0,0,0,1,1,低风险,0
APP000208,0,0,0,0,0,0,低风险,0
APP000209,0,0,0,0,0,0,低风险,0
APP000210,0,0,0,0,1,1,低风险,0
APP000211,0,0,0,0,0,0,低风险,0
APP000212,0,0,0,0,1,1,低风险,0
APP000213,0,0,0,0,0,0,低风险,0
APP000214,0,0,0,0,0,0,低风险,0
APP000215,0,0,0,1,0,1,低风险,0
APP000216,0,0,0,1,0,1,低风险,0
APP000217,0,0,0,0,1,1,低风险,0
APP000218,0,0,0,0,0,0,低风险,0
APP000219,0,0,0,1,0,1,低风险,0
APP000220,0,0,0,0,1,1,低风险,0
APP000221,0,0,0,0,0,0,低风险,0
APP000222,0,0,0,1,0,1,低风险,0
APP000223,0,0,0,1,1,2,中风险,0
APP000224,0,0,0,1,0,1,低风险,0
APP000225,0,0,0,0,1,1,低风险,0
APP000226,0,0,0,1,0,1,低风险,0
APP000227,1,0,0,1,1,3,高风险,1
APP000228,0,0,0,1,0,1,低风险,0
APP000229,0,0,0,0,0,0,低风险,0
APP000230,0,0,0,0,0,0,低风险,0
APP000231,0,0,0,1,0,1,低风险,0
APP000232,0,0,0,0,0,0,低风险,0
APP000233,0,0,0,0,0,0,低风险,0
APP000234,0,0,0,1,1,2,中风险,0
APP000235,0,0,0,0,0,0,低风险,0
APP000236,0,0,0,0,0,0,低风险,0
APP000237,0,0,0,0,0,0,低风险,0
APP000238,0,0,0,1,0,1,低风险,0
APP000239,0,0,0,1,0,1,低风险,0
APP000240,0,0,0,0,0,0,低风险,0
APP000241,1,0,1,1,0,3,高风险,1
APP000242,1,1,0,1,1,4,高风险,1
APP000243,1,0,0,1,1,3,高风险,1
APP000244,0,0,0,0,0,0,低风险,0
APP000245,0,0,0,0,0,0,低风险,0
APP000246,1,1,0,1,1,4,高风险,1
APP000247,0,0,0,0,1,1,低风险,0
APP000248,1,0,1,0,0,2,中风险,1
APP000249,1,1,1,1,0,4,高风险,1
APP000250,0,0,0,1,1,2,中风险,0
APP000251,0,0,0,0,0,0,低风险,0
APP000252,0,0,0,0,1,1,低风险,0
APP000253,0,0,0,0,0,0,低风险,0
APP000254,0,0,0,0,1,1,低风险,0
APP000255,0,0,0,0,0,0,低风险,0
APP000256,0,0,0,1,0,1,低风险,0
APP000257,1,0,0,1,1,3,高风险,1
APP000258,0,0,0,0,0,0,低风险,0
APP000259,0,0,0,0,0,0,低风险,0
APP000260,0,0,0,0,1,1,低风险,0
APP000261,0,0,0,0,1,1,低风险,0
APP000262,1,1,0,1,0,3,高风险,1
APP000263,0,0,0,0,1,1,低风险,0
APP000264,0,0,0,0,0,0,低风险,0
APP000265,0,0,0,1,0,1,低风险,0
APP000266,0,0,0,0,0,0,低风险,0
APP000267,0,0,0,1,0,1,低风险,0
APP000268,0,0,0,0,1,1,低风险,0
APP000269,0,0,0,1,0,1,低风险,0
APP000270,0,0,0,1,0,1,低风险,0
APP000271,0,0,0,1,0,1,低风险,0
APP000272,0,0,0,1,0,1,低风险,0
APP000273,0,0,0,0,1,1,低风险,0
APP000274,1,1,0,1,1,4,高风险,1
APP000275,0,0,0,1,0,1,低风险,0
APP000276,0,0,0,0,0,0,低风险,0
APP000277,0,0,0,0,1,1,低风险,0
APP000278,0,0,0,0,0,0,低风险,0
APP000279,0,0,0,0,0,0,低风险,0
APP000280,0,0,0,0,1,1,低风险,0
APP000281,0,0,0,0,0,0,低风险,0
APP000282,0,0,0,1,0,1,低风险,0
APP000283,0,0,0,0,0,0,低风险,0
APP000284,0,0,0,0,0,0,低风险,0
APP000285,0,0,0,0,1,1,低风险,0
APP000286,0,0,0,0,0,0,低风险,0
APP000287,0,0,0,1,0,1,低风险,0
APP000288,0,0,0,0,0,0,低风险,0
APP000289,0,0,0,0,0,0,低风险,0
APP000290,0,0,0,1,0,1,低风险,0
APP000291,0,0,0,0,1,1,低风险,0
APP000292,0,0,0,0,0,0,低风险,0
APP000293,0,0,0,0,0,0,低风险,0
APP000294,0,0,0,1,0,1,低风险,0
APP000295,0,0,0,0,0,0,低风险,0
APP000296,0,0,0,0,0,0,低风险,0
APP000297,0,0,0,0,0,0,低风险,0
APP000298,0,0,0,0,1,1,低风险,0
APP000299,0,0,0,0,0,0,低风险,0
APP000300,0,0,0,0,0,0,低风险,0
APP000301,0,0,0,0,0,0,低风险,0
APP000302,0,0,0,1,0,1,低风险,0
APP000303,0,0,0,1,0,1,低风险,0
APP000304,0,0,0,0,0,0,低风险,0
APP000305,0,0,0,1,0,1,低风险,0
APP000306,1,1,0,0,1,3,高风险,1
APP000307,0,0,0,0,0,0,低风险,0
APP000308,0,0,0,1,0,1,低风险,0
APP000309,0,0,0,1,0,1,低风险,0
APP000310,0,0,0,1,0,1,低风险,0
APP000311,0,0,0,0,0,0,低风险,0
APP000312,0,0,0,1,0,1,低风险,0
APP000313,0,0,0,0,0,0,低风险,0
APP000314,1,0,0,1,1,3,高风险,1
APP000315,0,0,0,1,1,2,中风险,0
APP000316,0,0,0,0,0,0,低风险,0
APP000317,0,0,0,1,0,1,低风险,0
APP000318,0,0,0,0,0,0,低风险,0
APP000319,0,0,0,0,0,0,低风险,0
APP000320,0,0,0,0,1,1,低风险,0
APP000321,0,0,0,0,0,0,低风险,0
APP000322,0,0,0,1,0,1,低风险,0
APP000323,0,0,0,1,0,1,低风险,0
APP000324,0,0,0,0,0,0,低风险,0
APP000325,1,1,0,1,1,4,高风险,1
APP000326,0,0,0,1,1,2,中风险,0
APP000327,0,0,0,0,0,0,低风险,0
APP000328,0,0,0,1,0,1,低风险,0
APP000329,0,0,0,0,0,0,低风险,0
APP000330,0,0,0,1,1,2,中风险,0
APP000331,0,0,0,0,1,1,低风险,0
APP000332,0,0,0,0,0,0,低风险,0
APP000333,0,0,0,0,0,0,低风险,0
APP000334,0,0,0,1,0,1,低风险,0
APP000335,0,0,0,0,1,1,低风险,0
APP000336,0,0,0,0,0,0,低风险,0
APP000337,0,0,0,0,1,1,低风险,0
APP000338,0,0,0,1,1,2,中风险,0
APP000339,0,0,0,0,0,0,低风险,0
APP000340,0,0,0,0,1,1,低风险,0
APP000341,0,0,0,0,1,1,低风险,0
APP000342,0,0,0,0,0,0,低风险,0
APP000343,0,0,0,1,0,1,低风险,0
APP000344,0,0,0,1,0,1,低风险,0
APP000345,0,0,0,0,0,0,低风险,0
APP000346,0,0,0,0,1,1,低风险,0
APP000347,0,0,0,1,1,2,中风险,0
APP000348,0,0,0,0,0,0,低风险,0
APP000349,0,0,0,1,0,1,低风险,0
APP000350,0,0,0,1,0,1,低风险,0
APP000351,0,0,0,1,1,2,中风险,0
APP000352,0,0,0,0,0,0,低风险,0
APP000353,0,0,0,0,1,1,低风险,0
APP000354,0,0,0,1,0,1,低风险,0
APP000355,0,0,0,0,0,0,低风险,0
APP000356,0,0,0,1,0,1,低风险,0
APP000357,0,0,0,0,0,0,低风险,0
APP000358,0,0,0,1,0,1,低风险,0
APP000359,1,0,0,1,0,2,中风险,1
APP000360,0,0,0,0,0,0,低风险,0
APP000361,0,0,0,0,1,1,低风险,0
APP000362,0,0,0,1,0,1,低风险,0
APP000363,0,0,0,1,1,2,中风险,0
APP000364,0,0,0,0,0,0,低风险,0
APP000365,1,0,0,0,1,2,中风险,1
APP000366,0,0,0,1,0,1,低风险,0
APP000367,1,0,0,0,1,2,中风险,1
APP000368,1,0,0,1,1,3,高风险,1
APP000369,0,0,0,0,0,0,低风险,0
APP000370,0,0,0,0,0,0,低风险,0
APP000371,0,0,0,0,0,0,低风险,0
APP000372,0,0,0,0,0,0,低风险,0
APP000373,0,0,0,0,0,0,低风险,0
APP000374,0,0,0,0,0,0,低风险,0
APP000375,0,0,0,0,1,1,低风险,0
APP000376,0,0,0,0,1,1,低风险,0
APP000377,0,0,0,0,0,0,低风险,0
APP000378,0,0,0,1,0,1,低风险,0
APP000379,0,0,0,0,0,0,低风险,0
APP000380,0,0,0,0,0,0,低风险,0
APP000381,0,0,0,0,0,0,低风险,0
APP000382,0,0,0,0,0,0,低风险,0
APP000383,0,0,0,0,1,1,低风险,0
APP000384,0,0,0,0,1,1,低风险,0
APP000385,0,0,0,1,0,1,低风险,0
APP000386,0,0,0,0,0,0,低风险,0
APP000387,0,0,0,1,0,1,低风险,0
APP000388,0,0,0,0,0,0,低风险,0
APP000389,0,0,0,0,1,1,低风险,0
APP000390,0,0,0,0,0,0,低风险,0
APP000391,1,0,0,0,1,2,中风险,1
APP000392,0,0,0,0,0,0,低风险,0
APP000393,0,0,0,1,0,1,低风险,0
APP000394,0,0,0,0,0,0,低风险,0
APP000395,0,0,0,1,0,1,低风险,0
APP000396,1,0,0,1,1,3,高风险,1
APP000397,0,0,0,0,0,0,低风险,0
APP000398,0,0,0,0,0,0,低风险,0
APP000399,0,0,0,0,0,0,低风险,0
APP000400,0,0,0,0,0,0,低风险,0
APP000401,0,0,0,0,0,0,低风险,0
APP000402,1,1,1,1,0,4,高风险,1
APP000403,0,0,0,0,1,1,低风险,0
APP000404,0,0,0,0,0,0,低风险,0
APP000405,0,0,0,1,1,2,中风险,0
APP000406,0,0,0,1,0,1,低风险,0
APP000407,0,0,0,1,0,1,低风险,0
APP000408,0,0,0,0,0,0,低风险,0
APP000409,1,0,1,1,1,4,高风险,1
APP000410,0,0,0,0,0,0,低风险,0
APP000411,0,0,0,0,1,1,低风险,0
APP000412,1,0,0,0,1,2,中风险,1
APP000413,1,1,1,1,0,4,高风险,1
APP000414,0,0,0,1,0,1,低风险,0
APP000415,0,0,0,0,1,1,低风险,0
APP000416,0,0,0,0,0,0,低风险,0
APP000417,0,0,0,0,0,0,低风险,0
APP000418,0,0,0,0,0,0,低风险,0
APP000419,0,0,0,0,0,0,低风险,0
APP000420,0,0,0,0,0,0,低风险,0
APP000421,0,0,0,0,0,0,低风险,0
APP000422,0,0,0,1,0,1,低风险,0
APP000423,0,0,0,0,1,1,低风险,0
APP000424,0,0,0,1,1,2,中风险,0
APP000425,0,0,0,0,0,0,低风险,0
APP000426,0,0,0,0,1,1,低风险,0
APP000427,0,0,0,0,0,0,低风险,0
APP000428,0,0,0,0,0,0,低风险,0
APP000429,0,0,0,0,1,1,低风险,0
APP000430,0,0,0,1,0,1,低风险,0
APP000431,0,0,0,1,0,1,低风险,0
APP000432,0,0,0,0,0,0,低风险,0
APP000433,0,0,0,0,0,0,低风险,0
APP000434,0,0,0,1,0,1,低风险,0
APP000435,0,0,0,0,0,0,低风险,0
APP000436,0,0,0,0,0,0,低风险,0
APP000437,0,0,0,0,0,0,低风险,0
APP000438,0,0,0,1,1,2,中风险,0
APP000439,0,0,0,1,1,2,中风险,0
APP000440,0,0,0,0,0,0,低风险,0
APP000441,0,0,0,1,1,2,中风险,0
APP000442,1,1,0,1,1,4,高风险,1
APP000443,0,0,0,0,0,0,低风险,0
APP000444,0,0,0,0,1,1,低风险,0
APP000445,0,0,0,0,0,0,低风险,0
APP000446,1,1,0,1,1,4,高风险,1
APP000447,1,1,0,0,0,2,中风险,1
APP000448,0,0,0,1,0,1,低风险,0
APP000449,0,0,0,0,1,1,低风险,0
APP000450,0,0,0,1,0,1,低风险,0
APP000451,0,0,0,0,0,0,低风险,0
APP000452,0,0,0,0,0,0,低风险,0
APP000453,0,0,0,1,0,1,低风险,0
APP000454,1,0,0,1,1,3,高风险,1
APP000455,0,0,0,1,0,1,低风险,0
APP000456,0,0,0,0,1,1,低风险,0
APP000457,0,0,0,1,0,1,低风险,0
APP000458,0,0,0,0,0,0,低风险,0
APP000459,0,0,0,0,1,1,低风险,0
APP000460,0,0,0,0,0,0,低风险,0
APP000461,0,0,0,0,1,1,低风险,0
APP000462,0,0,0,0,0,0,低风险,0
APP000463,0,0,0,1,0,1,低风险,0
APP000464,0,0,0,0,1,1,低风险,0
APP000465,0,0,0,1,0,1,低风险,1
APP000466,0,0,0,0,1,1,低风险,0
APP000467,0,0,0,0,0,0,低风险,0
APP000468,0,0,0,0,1,1,低风险,0
APP000469,0,0,0,1,0,1,低风险,0
APP000470,1,1,0,1,0,3,高风险,1
APP000471,0,0,0,1,0,1,低风险,0
APP000472,1,0,1,1,0,3,高风险,1
APP000473,0,0,0,0,0,0,低风险,0
APP000474,0,0,0,0,0,0,低风险,0
APP000475,0,0,0,1,0,1,低风险,0
APP000476,1,0,0,1,0,2,中风险,1
APP000477,0,0,0,0,0,0,低风险,0
APP000478,0,0,0,0,1,1,低风险,0
APP000479,1,0,1,1,1,4,高风险,1
APP000480,0,0,0,0,1,1,低风险,0
APP000481,0,0,0,0,0,0,低风险,0
APP000482,0,0,0,0,0,0,低风险,0
APP000483,0,0,0,0,0,0,低风险,0
APP000484,0,0,0,0,1,1,低风险,0
APP000485,0,0,0,0,1,1,低风险,0
APP000486,1,1,1,1,1,5,高风险,1
APP000487,0,0,0,0,0,0,低风险,0
APP000488,0,0,0,0,0,0,低风险,0
APP000489,1,1,0,1,1,4,高风险,1
APP000490,0,0,0,0,0,0,低风险,0
APP000491,0,0,0,0,0,0,低风险,0
APP000492,0,0,0,1,1,2,中风险,0
APP000493,0,0,0,0,0,0,低风险,0
APP000494,0,0,0,1,1,2,中风险,0
APP000495,0,0,0,1,0,1,低风险,0
APP000496,0,0,0,1,1,2,中风险,0
APP000497,0,0,0,0,0,0,低风险,0
APP000498,0,0,0,0,1,1,低风险,0
APP000499,1,1,0,1,1,4,高风险,1
APP000500,1,0,1,1,0,3,高风险,1
APP000501,0,0,0,0,1,1,低风险,0
APP000502,0,0,0,0,1,1,低风险,0
APP000503,0,0,0,0,0,0,低风险,0
APP000504,0,0,0,0,1,1,低风险,0
APP000505,0,0,0,0,1,1,低风险,0
APP000506,0,0,0,0,0,0,低风险,0
APP000507,1,0,1,1,0,3,高风险,1
APP000508,0,0,0,0,0,0,低风险,0
APP000509,1,0,0,1,0,2,中风险,1
APP000510,0,0,0,1,0,1,低风险,0
APP000511,0,0,0,0,1,1,低风险,0
APP000512,0,0,0,0,0,0,低风险,0
APP000513,1,0,1,0,0,2,中风险,1
APP000514,0,0,0,1,0,1,低风险,0
APP000515,0,0,0,0,0,0,低风险,0
APP000516,0,0,0,0,1,1,低风险,0
APP000517,0,0,0,0,0,0,低风险,0
APP000518,0,0,0,1,0,1,低风险,0
APP000519,1,0,0,0,0,1,低风险,1
APP000520,0,0,0,0,1,1,低风险,0
APP000521,0,0,0,1,1,2,中风险,0
APP000522,0,0,0,0,1,1,低风险,0
APP000523,1,0,0,1,0,2,中风险,1
APP000524,0,0,0,0,1,1,低风险,0
APP000525,0,0,0,1,1,2,中风险,0
APP000526,0,0,0,0,0,0,低风险,0
APP000527,0,0,0,1,1,2,中风险,0
APP000528,0,0,0,1,0,1,低风险,0
APP000529,0,0,0,0,0,0,低风险,0
APP000530,0,0,0,0,0,0,低风险,0
APP000531,0,0,0,0,0,0,低风险,0
APP000532,1,0,1,0,0,2,中风险,1
APP000533,1,1,1,0,0,3,高风险,1
APP000534,0,0,0,0,1,1,低风险,0
APP000535,0,0,0,0,1,1,低风险,0
APP000536,1,0,0,1,1,3,高风险,1
APP000537,0,0,0,0,0,0,低风险,0
APP000538,0,0,0,1,0,1,低风险,0
APP000539,0,0,0,0,0,0,低风险,0
APP000540,0,0,0,0,0,0,低风险,0
APP000541,1,1,0,0,1,3,高风险,1
APP000542,0,0,0,0,0,0,低风险,0
APP000543,0,0,0,0,0,0,低风险,0
APP000544,0,0,0,0,1,1,低风险,0
APP000545,0,0,0,0,0,0,低风险,0
APP000546,0,0,0,1,1,2,中风险,0
APP000547,0,0,0,0,0,0,低风险,0
APP000548,0,0,0,1,0,1,低风险,0
APP000549,0,0,0,1,1,2,中风险,0
APP000550,0,0,0,1,0,1,低风险,0
APP000551,0,0,0,1,0,1,低风险,0
APP000552,0,0,0,0,0,0,低风险,0
APP000553,0,0,0,0,0,0,低风险,0
APP000554,0,0,0,1,1,2,中风险,0
APP000555,0,0,0,0,0,0,低风险,0
APP000556,0,0,0,0,0,0,低风险,0
APP000557,0,0,0,1,0,1,低风险,0
APP000558,0,0,0,1,1,2,中风险,0
APP000559,0,0,0,1,0,1,低风险,0
APP000560,0,0,0,1,0,1,低风险,0
APP000561,0,0,0,1,1,2,中风险,0
APP000562,0,0,0,0,0,0,低风险,0
APP000563,0,0,0,1,1,2,中风险,0
APP000564,0,0,0,0,0,0,低风险,0
APP000565,0,0,0,0,1,1,低风险,0
APP000566,0,0,0,1,0,1,低风险,0
APP000567,0,0,0,0,0,0,低风险,0
APP000568,0,0,0,0,0,0,低风险,0
APP000569,1,0,0,0,1,2,中风险,1
APP000570,0,0,0,1,0,1,低风险,0
APP000571,0,0,0,0,0,0,低风险,0
APP000572,0,0,0,1,1,2,中风险,0
APP000573,0,0,0,0,1,1,低风险,0
APP000574,0,0,0,1,0,1,低风险,0
APP000575,0,0,0,1,1,2,中风险,0
APP000576,1,0,0,1,0,2,中风险,1
APP000577,0,0,0,0,0,0,低风险,0
APP000578,1,0,1,0,1,3,高风险,1
APP000579,0,0,0,1,0,1,低风险,0
APP000580,0,0,0,1,0,1,低风险,0
APP000581,0,0,0,1,0,1,低风险,0
APP000582,1,0,0,1,0,2,中风险,1
APP000583,0,0,0,1,0,1,低风险,0
APP000584,0,0,0,1,1,2,中风险,0
APP000585,0,0,0,1,0,1,低风险,0
APP000586,0,0,0,1,0,1,低风险,0
APP000587,0,0,0,0,0,0,低风险,0
APP000588,0,0,0,0,1,1,低风险,0
APP000589,0,0,0,1,1,2,中风险,0
APP000590,0,0,0,1,0,1,低风险,0
APP000591,0,0,0,0,0,0,低风险,0
APP000592,0,0,0,0,0,0,低风险,0
APP000593,0,0,0,0,0,0,低风险,0
APP000594,0,0,0,0,0,0,低风险,0
APP000595,0,0,0,0,0,0,低风险,0
APP000596,0,0,0,1,1,2,中风险,0
APP000597,0,0,0,1,1,2,中风险,0
APP000598,0,0,0,0,1,1,低风险,0
APP000599,0,0,0,0,0,0,低风险,0
APP000600,0,0,0,0,0,0,低风险,0
APP000601,0,0,0,0,0,0,低风险,0
APP000602,0,0,0,1,0,1,低风险,0
